drug,alternative_1,alternative_2,alternative_3
Dihomo-gamma-linolenic acid,alpha-Linolenic acid,Gamolenic acid,Linoleic acid
Citrulline,S-Butyryl-Cystein,S-Acetyl-Cysteine,Cysteine-S-acetamide
Threonine,D-Threonine,"(2S)-2,3-Diaminobutanoic acid","D-Erythro-2,3-diaminobutyric acid"
NADH,4-oxo-nicotinamide-adenine dinucleotide phosphate,"5,6-dihydroxy-NADP",NADPH
Folic acid,Aminopterin,Talotrexin,Raltitrexed
Icosapent,Osbond acid,Icosapent ethyl,Arachidonic Acid
Alanine,S-Methylcysteine,"(2s)-2,8-Diaminooctanoic Acid",2-Amino-4-(2-Amino-Ethoxy)-Butyric Acid
Valine,Beta-Hydroxyleucine,Hydroxyaminovaline,Isoleucine
Vitamin A,Tretinoin,Isotretinoin,Alitretinoin
Vitamin E,Tocopheryl nicotinate,gamma-Tocopherol,alpha-Tocopherol succinate
Pyridoxine,Pyridoxamine,Pyridoxal,Methfuroxam
Lipoic acid,Thioctic acid tromethamine,(S)-2-Tetrahydrofuroic acid,(2R)-N-[(2R)-2-(DIHYDROXYBORYL)-1-L-PROLYLPYRROLIDIN-2-YL]-N-[(5R)-5-(DIHYDROXYBORYL)-1-L-PROLYLPYRROLIDIN-2-YL]-L-PROLINAMIDE
Isoleucine,L-alloisoleucine,"(2S)-2,3-Diaminobutanoic acid",Valine
Aspartame,WRR-112,WRR-99,N-(1-carboxy-3-phenylpropyl)phenylalanyl-alpha-asparagine
Cholecalciferol,Calcifediol,"24,25-Dihydroxycholecalciferol",Ergocalciferol
Menadione,Plumbagin,"5-Heptyl-6-hydroxy-1,3-benzothiazole-4,7-dione","2,3-Dimethyl-1,4-naphthoquinone"
ATP,"Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate",2'-Monophosphoadenosine-5'-Diphosphate,3'-Phosphate-Adenosine-5'-Diphosphate
Proline,D-Proline,L-thioproline,(S)-2-Tetrahydrofuroic acid
Adenine,6-bromopurine,6-Methylpurine,"5H-pyrrolo[3,2-d]pyrimidin-4-amine"
Asparagine,D-Asparagine,S-Acetyl-Cysteine,S-Butyryl-Cystein
Pravastatin,Mevinolinic acid,Tenivastatin,Lovastatin
Fluvoxamine,S-Ethyl-N-[4-(Trifluoromethyl)Phenyl]Isothiourea,Ridogrel,Teriflunomide
Valsartan,Ilomastat,Macimorelin,N-[(Furan-2-Yl)Carbonyl]-(S)-Leucyl-(R)-[1-Amino-2(1h-Indol-3-Yl)Ethyl]-Phosphonic Acid
Ramipril,Trandolapril,Ramiprilat,Trandolaprilat
Masoprocol,Secoisolariciresinol,Liothyronine,Macelignan
Flunisolide,Fluocinolone acetonide,Fluclorolone acetonide,Flurandrenolide
Baclofen,4-Hydroxyphenylglycine,Phenibut,Diloxanide
Amphetamine,Etilamfetamine,Mebanazine,Pargyline
Pentagastrin,Aclerastide,"Tert-butyl N-[(2S,5R)-6-[[(2S)-5-amino-1-[[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-5-benzyl-3,6-dioxo-1-phenylhexan-2-yl]carbamate",Cilengitide
Nicotine,(1R)-3-chloro-1-phenylpropan-1-ol,(2s)-Pyrrolidin-2-Ylmethylamine,Lanicemine
Cevimeline,Dianicline,AZD-0328,Oliceridine
Lorazepam,Oxazepam,Delorazepam,Doxefazepam
Esmolol,Practolol,Talinolol,Climbazole
Bortezomib,N-(4-MORPHOLINE)CARBONYL-B-(1-NAPHTHYL)-L-ALANINE-L-LEUCINE BORONIC ACID,Flovagatran,O-(((1R)-((N-PHENYLMETHOXYCARBONYL-L-ALANYL)AMINO)ETHYL)HYDROXYPHOSPHONO)-L-BENZYLACETIC ACID
Ethchlorvynol,2-octyl cyanoacrylate,Canavanine,D-arginine
Carbidopa,Methyldopa,Foscarbidopa,Metyrosine
Phentermine,Clortermine,Pargyline,Mephentermine
Indecainide,Fenpiverinium,Bendazac,(2S)-3-[(9H-fluoren-9-ylideneamino)oxy]-2-methylpropanoic acid
Tramadol,Venlafaxine,Tolterodine,β-Methylfentanyl
Vidarabine,Adenosine,Methylthioinosine,1-Deaza-Adenosine
Betaxolol,Levobetaxolol,Bisoprolol,Talinolol
Fluconazole,"1-(N-Imidazolyl)-2-Hydroxy-2-(2,3-Dichlorophenyl)Octane",Voriconazole,Fluoxetine
Troglitazone,"(5R)-5-(4-{[(2R)-6-HYDROXY-2,5,7,8-TETRAMETHYL-3,4-DIHYDRO-2H-CHROMEN-2-YL]METHOXY}BENZYL)-1,3-THIAZOLIDINE-2,4-DIONE","N-[(13-CYCLOHEXYL-6,7-DIHYDROINDOLO[1,2-D][1,4]BENZOXAZEPIN-10-YL)CARBONYL]-2-METHYL-L-ALANINE",Mycophenolate mofetil
Oseltamivir,Oseltamivir acid,Peramivir,"5-[1-(Acetylamino)-3-Methylbutyl]-2,5-Anhydro-3,4-Dideoxy-4-(Methoxycarbonyl)Pentonic Acid"
Erythromycin,Clarithromycin,Azithromycin,Roxithromycin
Hydroxocobalamin,Mecobalamin,Cobamamide,8-epi-Cyanocobalamin
Caffeine,Pentoxifylline,Pentifylline,Doxofylline
Succinylcholine,Acetylcholine,Butyrylthiocholine,Methacholine
Sildenafil,Vardenafil,BMS-488043,"(4R)-N-[4-({[2-(DIMETHYLAMINO)ETHYL]AMINO}CARBONYL)-1,3-THIAZOL-2-YL]-4-METHYL-1-OXO-2,3,4,9-TETRAHYDRO-1H-BETA-CARBOLINE-6-CARBOXAMIDE"
Dofetilide,"N-(4-chlorobenzyl)-N-methylbenzene-1,4-disulfonamide",Sotalol,Mefruside
Pyrimethamine,Metoprine,"2,4-Diamino-5-phenyl-6-ethylpyrimidine",Irsogladine
Reserpine,Methoserpidine,Deserpidine,Rescinnamine
Azithromycin,Clarithromycin,Erythromycin,Roxithromycin
Ticlopidine,ORM-13070 C-11,Aprindine,Azapetine
Trospium,SCH-486757,Levophencynonate,Aclidinium
Adapalene,LG-100268,Martinostat,Zilurgisertib
Midodrine,Methoxamine,"N-[1-(5-bromo-2,3-dimethoxybenzyl)piperidin-4-yl]-4-sulfanylbutanamide",Eticlopride
Remikiren,Carfilzomib,"Tert-butyl N-[(2S,5R)-6-[[(2S)-5-amino-1-[[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-5-benzyl-3,6-dioxo-1-phenylhexan-2-yl]carbamate",DPDPE
Pantoprazole,Flubendazole,AT-001,Zopolrestat
Torasemide,Pilaralisib,(2R)-2-{[(4-FLUORO-3-METHYLPHENYL)SULFONYL]AMINO}-N-HYDROXY-2-TETRAHYDRO-2H-PYRAN-4-YLACETAMIDE,CGS-27023
Citalopram,Escitalopram,Haloperidol,Bromperidol
Eletriptan,Almotriptan,"5-[3-(2-METHOXYPHENYL)-1H-PYRROLO[2,3-B]PYRIDIN-5-YL]-N,N-DIMETHYLPYRIDINE-3-CARBOXAMIDE",Zolmitriptan
Bethanidine,Thiacloprid,Aconiazide,S-Ethyl-N-Phenyl-Isothiourea
Moxifloxacin,Pradofloxacin,Finafloxacin,Nemonoxacin
Oxyphenonium,Penthienate,Methylbenactyzium,Difemerine
Nelfinavir,Indinavir,"N-[2-hydroxy-1-indanyl]-5-[(2-tertiarybutylaminocarbonyl)-4(benzo[1,3]dioxol-5-ylmethyl)-piperazino]-4-hydroxy-2-(1-phenylethyl)-pentanamide","N-METHYLALANYL-3-METHYLVALYL-4-PHENOXY-N-(1,2,3,4-TETRAHYDRONAPHTHALEN-1-YL)PROLINAMIDE"
Isoetharine,Salbutamol,Levosalbutamol,Clobutinol
Glimepiride,GW-813893,Edoxaban,Argatroban
Diflorasone,Flumethasone,Ulobetasol,Fluticasone
Indinavir,L-756423,Nelfinavir,"N-METHYLALANYL-3-METHYLVALYL-4-PHENOXY-N-(1,2,3,4-TETRAHYDRONAPHTHALEN-1-YL)PROLINAMIDE"
Gadodiamide,Gadoversetamide,Gadopentetic acid,Gadobenic acid
Guanadrel,"(5S)-2-(Cyclooctylamino)-5-methyl-5-propyl-1,3-thiazol-4(5H)-one",Guanoxan,Rilmenidine
Lovastatin,Simvastatin,Mevinolinic acid,Acetyl simvastatin
Enflurane,Isoflurane,Desflurane,Pentafluoropropane
Cefotiam,Cefamandole,Cefapirin,Cephaloglycin
Pregabalin,2-(Thiomethylene)-4-Methylpentanoic Acid,Imagabalin,PD-0299685
Temazepam,Lormetazepam,Cinolazepam,Diazepam
Methyclothiazide,Buthiazide,Polythiazide,Mebutizide
Aminosalicylic acid,Mesalazine,(2-BROMOETHYL)(2-'FORMYL-4'-AMINOPHENYL) ACETATE,RU78299
Reboxetine,Esreboxetine,Dexmethylphenidate,Edivoxetine
Milrinone,5-Benzylacyclouridine,Olprinone,"1-((2-HYDROXYETHOXY)METHYL)-5-(PHENYLTHIO)PYRIMIDINE-2,4(1H,3H)-DIONE"
Pipobroman,Diethylcarbamazine,Oxybuprocaine,Proparacaine
Butabarbital,Pentobarbital,Thiopental,Vinylbital
Nevirapine,Mepivacaine,Mepixanox,Pixantrone
Oxiconazole,Miconazole,Isoconazole,(S)-econazole
Alclometasone,Methylprednisolone,Paramethasone,Fluocortin
Butalbital,Talbutal,Vinylbital,Aprobarbital
Cladribine,2-Fluoro-2'-Deoxyadenosine,Clofarabine,Nelarabine
Ranolazine,β-Hydroxythiofentanyl,Carfentanil,Sufentanil
Mesalazine,Aminosalicylic acid,3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPIONIC,N-Methyl-Pyridoxal-5'-Phosphate
Benzatropine,Etybenzatropine,Atropine,Deptropine
Ziprasidone,PF-00217830,Brilaroxazine,Aripiprazole
Methysergide,Methylergometrine,Ergometrine,Lisuride
Cabergoline,Terguride,Methylergometrine,Ergometrine
Idoxuridine,Broxuridine,Floxuridine,Raluridine
Dapsone,Sulfaethoxypyridazine,Sulfamethoxypyridazine,Sulfaperin
Terconazole,Levoketoconazole,Ketoconazole,Rodatristat ethyl
Phenytoin,Clorazepic acid,Ethyl loflazepate,Pinazepam
Medrysone,Alfaxalone,Drostanolone propionate,Desoximetasone
Doxycycline,Meclocycline,Lymecycline,Metacycline
Diethylstilbestrol,Isoliquiritigenin,Droloxifene,Afimoxifene
Lymecycline,Rolitetracycline,Clomocycline,Tetracycline
Clotrimazole,Dioxaphetyl butyrate,Nicofetamide,Dipipanone
Calcium acetate,Cupric glycinate,Magnesium acetate,Magnesium glycinate
Sulfanilamide,4-(2-AMINOETHYL)BENZENESULFONAMIDE,Mafenide,p-Toluenesulfonamide
Cycloserine,Homoserine Lactone,L-Cycloserine,3-AMINO-AZACYCLOTRIDECAN-2-ONE
Anagrelide,Delorazepam,Nordazepam,Aplindore
Carmustine,N-Methyl-Alpha-Beta-Dehydroalanine,Ocrylate,5-Fluorolevulinic Acid
Sulfisoxazole,Sulfadoxine,Sulfamethylthiazole,Sulfamerazine
Metoprolol,Bisoprolol,Practolol,Bupranolol
Crotamiton,Lidocaine,3-{[(1r)-1-Benzyl-2-Sulfanylethyl]Amino}-3-Oxopropanoic Acid,Iodohippuric acid
Dicoumarol,Ethyl biscoumacetate,Warfarin,"(5-hydroxyindolo[1,2-a]quinazolin-7-yl)acetic acid"
Cefmenoxime,Cefotaxime,Cefetamet,Cefovecin
Ropinirole,Carteolol,Zaltoprofen,Pranoprofen
Chlorotrianisene,Phenolphthalein,5-deoxyflavanone,1-(4-Amidinophenyl)-3-(4-Chlorophenyl)Urea
Isradipine,Darodipine,Nimodipine,Nisoldipine
Diatrizoate,Iodamide,Iothalamic acid,Metrizoic acid
Betazole,Histamine,4-Methylimidazole,Imidazole
Topiramate,"Sulfamic Acid 2,3-O-(1-Methylethylidene)-4,5-O-Sulfonyl-Beta-Fructopyranose Ester","5-ACETAMIDO-5,6-DIHYDRO-4-HYDROXY-6-ISOBUTOXY-4H-PYRAN-2-CARBOXYLIC ACID",Islatravir
Cefmetazole,Cefminox,Flomoxef,Cefoxitin
Olmesartan,Fimasartan,Darolutamide,Vimseltinib
Amsacrine,"2-fluoro-6-{[2-({2-methoxy-4-[(methylsulfonyl)methyl]phenyl}amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl]amino}benzamide",N-[2-(1h-Indol-5-Yl)-Butyl]-4-Sulfamoyl-Benzamide,Cimicoxib
Theophylline,8-Aminotheophylline,8-chlorotheophylline,Bromotheophylline
Argatroban,Ilepatril,Sp-722,1-GUANIDINO-4-(N-PHENYLMETHANESULFONYL-L-LEUCYL-L-PROLYLAMINO)BUTANE
Liothyronine,Levothyroxine,Dextrothyroxine,Tiratricol
Disopyramide,Isopropamide,Methadyl acetate,Aminopentamide
Lidocaine,Etidocaine,Butanilicaine,Denatonium
Pamidronic acid,"(1-HYDROXYHEPTANE-1,1-DIYL)BIS(PHOSPHONIC ACID)",Neridronic Acid,Alendronic acid
Clemastine,Dexchlorpheniramine,Dexbrompheniramine,(R)-pyridin-4-yl[4-(2-pyrrolidin-1-ylethoxy)phenyl]methanol
Acarbose,"4,6-Dideoxy-4-{[4,5,6-Trihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}-Alpha-D-Lyxo-Hexopyranosyl-(1->4)-Alpha-D-Threo-Hexopyranosyl-(1->6)-Alpha-L-Threo-Hexopyranose",Paromomycin,Dihydro-Acarbose
Venlafaxine,Sibutramine,Desvenlafaxine,Tramadol
Travoprost,Fluprostenol,Tafluprost,Sepetaprost
Amcinonide,Ciclesonide,Deflazacort,Fluperolone
Atomoxetine,Lanicemine,Clobenzorex,(2R)-2-PHENYL-N-PYRIDIN-4-YLBUTANAMIDE
Bleomycin,Bleomycin A6,TAK-448,Afamelanotide
Chlorambucil,Phloretic acid,Alminoprofen,"S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea"
Etomidate,123I-iodometomidate,Cathinone,Dexmethylphenidate
Raltitrexed,Folic acid,Pemetrexed,Aminopterin
Etonogestrel,Gestonorone,Norethisterone,Levonorgestrel
Morphine,Nalorphine,Dihydromorphine,Hydromorphone
Ropivacaine,Levobupivacaine,Bupivacaine,Tasimelteon
Bupivacaine,Ropivacaine,Levobupivacaine,Mepivacaine
Dapiprazole,Mizolastine,"1-{7-cyclohexyl-6-[4-(4-methylpiperazin-1-yl)benzyl]-7H-pyrrolo[2,3-d]pyrimidin-2-yl}methanamine","1-(thiophen-2-ylacetyl)-4-(3-thiophen-2-yl-1,2,4-oxadiazol-5-yl)piperidine"
Penciclovir,Acyclovir,6-Hydroxymethylpterin,"2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One"
Tenofovir disoproxil,Tenofovir alafenamide,Besifovir dipivoxil,GS-9191
Flucloxacillin,Dicloxacillin,Cloxacillin,Oxacillin
Tranexamic acid,Atagabalin,Y-27632,Brivaracetam
Ertapenem,Meropenem,Milataxel,Dopastatin
Desogestrel,Etynodiol,Norethisterone,Etonogestrel
Mitomycin,Porfiromycin,Imipenem,Metacycline
Talbutal,Secobarbital,Vinylbital,Butalbital
Bexarotene,Arotinoid acid,Indralin,LG-100268
Ibutilide,Sotalol,Dofetilide,Atenolol
Vindesine,Vinblastine,Deacetoxyvinzolidine,Vincristine
Chlorthalidone,2-chloro-5-[(1S)-1-hydroxy-3-oxo-2H-isoindol-1-yl]benzenesulfonamide,Rofecoxib,"4-{5-[(Z)-(2,4-DIOXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZENESULFONAMIDE"
Ethoxzolamide,(2-CARBAMOYLMETHYL-5-PROPYL-OCTAHYDRO-INDOL-7-YL)ACETIC ACID,"5-ethoxy-4-(1-methyl-7-oxo-3-propyl-6,7-dihydro-1H-pyrazolo[4,3-d]pyrimidin-5-yl)thiophene-2-sulfonamide",AL7182
Pentobarbital,Butabarbital,Thiopental,Vinylbital
Valproic acid,Isobutyric acid,"N,N-dimethylglycine",Lactic acid
Capreomycin,Viomycin,Enviomycin,Depreotide
Zolmitriptan,Almotriptan,"(3R,4S)-1-[(4-amino-5H-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]-4-[(butylsulfanyl)methyl]pyrrolidin-3-ol","(3R,4S)-1-[(4-AMINO-5H-PYRROLO[3,2-D]PYRIMIDIN-7-YL)METHYL]-4-[(METHYLSULFANYL)METHYL]PYRROLIDIN-3-OL"
Acetaminophen,Resorcinol monoacetate,Methylparaben,Propylparaben
Gefitinib,"N-(5-chloro-1,3-benzodioxol-4-yl)-6-methoxy-7-(3-piperidin-1-ylpropoxy)quinazolin-4-amine",Vandetanib,Canertinib
Codeine,Ethylmorphine,Dihydrocodeine,Acetyldihydrocodeine
Piperacillin,Aspoxicillin,Carbenicillin,Azlocillin
Dihydroergotamine,Ergotamine,Dihydroergocristine,Sabarubicin
Amitriptyline,Doxepin,Cyclobenzaprine,Dosulepin
Floxuridine,Broxuridine,Idoxuridine,Raluridine
Tolcapone,Hesperetin,Dioxybenzone,"N'-[(1E)-(3,5-dibromo-2,4-dihydroxyphenyl)methylidene]-4-methoxybenzohydrazide"
Fluorometholone,Fluperolone,Clobetasol,Betamethasone
Nitroprusside,Prussian blue,Chlormerodrin Hg-197,4R-Fluoro-N6-ethanimidoyl-L-lysine
Calcium glucoheptonate,Magnesium gluconate,Manganese gluconate,Calcium gluconate
Hydromorphone,Oxymorphone,Morphine,Dihydromorphine
Indomethacin,1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID,Oxametacin,Acemetacin
Ethambutol,"1,4-Dithiothreitol",Dithioerythritol,Safingol
Metformin,Dodecyl creatine ester,S-Isopropyl-Isothiourea,Tilarginine
Ipratropium,Methylatropine,Atropine,Homatropine
Methadone,Normethadone,Camylofin,Methadyl acetate
Olanzapine,Thiethylperazine,Amoxapine,Clotiazepam
Atenolol,Sotalol,Labetalol,(R)-Atenolol
Nitrofural,Nifurzide,Nifuroxazide,Furazolidone
Pimecrolimus,Tacrolimus,"L-709,587",Sirolimus
Omeprazole,Esomeprazole,Apabetalone,FDL169
Pyrazinamide,Isoniazid,Nicotinamide,Methyl nicotinate
Metixene,Methdilazine,Perazine,Opipramol
Cetirizine,Levocetirizine,Bepotastine,Lorcainide
Terfenadine,Ebastine,Fexofenadine,Buclizine
Diltiazem,AZD-1305,Eribaxaban,"N-(4-bromo-2-{[(3R,5S)-3,5-dimethylpiperidin-1-yl]carbonyl}phenyl)-4-morpholin-4-yl-4-oxobutanamide"
Protriptyline,Nortriptyline,Cyclobenzaprine,Amitriptyline
Aminohippuric acid,"[[4-(Aminomethyl)Phenyl]Amino]Oxo-Acetic Acid,",Remetinostat,N-[(4-methoxyphenyl)sulfonyl]-D-alanine
Alfuzosin,Terazosin,Prazosin,"7-amino-2-tert-butyl-4-(4-pyrimidin-2-ylpiperazin-1-yl)pyrido[2,3-d]pyrimidine-6-carboxamide"
Trimethadione,Ethadione,Methyprylon,Paramethadione
Nitisinone,"2-{HYDROXY[2-NITRO-4-(TRIFLUOROMETHYL)PHENYL]METHYLENE}CYCLOHEXANE-1,3-DIONE",Resatorvid,Flunitrazepam
Clobazam,Apratastat,"4-[3-(dibenzylamino)phenyl]-2,4-dioxobutanoic acid","4-({4-[(4-AMINOBUT-2-YNYL)OXY]PHENYL}SULFONYL)-N-HYDROXY-2,2-DIMETHYLTHIOMORPHOLINE-3-CARBOXAMIDE"
Minoxidil,Amprolium,2-Nonyl-4-quinolinol 1-oxide,2-heptyl-4-hydroxyquinoline N-oxide
Megestrol acetate,Chlormadinone acetate,Nomegestrol acetate,Hydroxyprogesterone caproate
Tioguanine,Guanine,8-azaguanine,8-iodo-guanine
Methylergometrine,Ergometrine,Terguride,Lisuride
Buclizine,Meclizine,Ebastine,Vanoxerine
Aztreonam,Carumonam,Sulbenicillin,Mezlocillin
Chlorzoxazone,Ticlatone,Isatoic anhydride,2-mercaptobenzothiazole
Aminoglutethimide,"5-Methyl-5-(4-Phenoxy-Phenyl)-Pyrimidine-2,4,6-Trione",Glutethimide,Mephenytoin
Mefloquine,LGD-2226,Decoglurant,6-(3-AMINOPHENYL)-N-(TERT-BUTYL)-2-(TRIFLUOROMETHYL)QUINAZOLIN-4-AMINE
Sulfadiazine,Sulfathiazole,Sulfapyridine,3-{[(4-methylphenyl)sulfonyl]amino}propyl pyridin-4-ylcarbamate
Sapropterin,"6S-5,6,7,8-Tetrahydrobiopterin",Ronopterin,Biopterin
Vinorelbine,Vinblastine,Vindesine,Vincristine
Anidulafungin,Micafungin,Aminocandin,Dopastatin
Clozapine,Loxapine,Clothiapine,Clopenthixol
Sucralfate,Sucrosofate,Mifamurtide,Octanoyl-Coenzyme A
Grepafloxacin,Gatifloxacin,Enrofloxacin,PF-06821497
Doxylamine,Pheniramine,Carbinoxamine,Chlorphenoxamine
Levonorgestrel,Norelgestromin,Norethisterone,Gestonorone
Norepinephrine,Epinephrine,Levonordefrin,Phenylephrine
Cidofovir,"2',3'-Dideoxycytidine-5'-Monophosphate",2'-Deoxycytidine-5'-Monophosphate,"2',3'-Dideoxythymidine-5'-Monophosphate"
Mirtazapine,Mianserin,Esmirtazapine,Aptazapine
Meprobamate,Mebutamate,Carisoprodol,"S-[(1-Hydroxy-2,2,5,5-tetramethyl-2,5-dihydro-1H-pyrrol-3-yl)methyl] methanesulfonothioate"
Thiethylperazine,Butaperazine,Periciazine,Acetophenazine
Timolol,Penbutolol,Levobetaxolol,"(3s)-3-Amino-1-(Cyclopropylamino)Heptane-2,2-Diol"
Treprostinil,Esuberaprost,Beraprost,Ifetroban
Trihexyphenidyl,Cycrimine,Procyclidine,Pridinol
Palonosetron,"(20S)-19,20,22,23-TETRAHYDRO-19-OXO-5H,21H-18,20-ETHANO-12,14-ETHENO-6,10-METHENOBENZ[D]IMIDAZO[4,3-L][1,6,9,13]OXATRIAZACYCLONOADECOSINE-9-CARBONITRILE",Cilansetron,Bicuculline
Dydrogesterone,Progesterone,Testosterone propionate,Testosterone undecanoate
Mexiletine,"(2R)-1-(2,6-dimethylphenoxy)propan-2-amine",Propofol,"2,5-Dimethoxyamphetamine"
Dexrazoxane,1-ETHOXYCARBONYL-D-PHE-PRO-2(4-AMINOBUTYL)HYDRAZINE,N-(4-Aminobutanoyl)-S-(4-methoxybenzyl)-L-cysteinylglycine,Z-Ala Prolinal
Amlodipine,Felodipine,Levamlodipine,Darodipine
Tacrine,Ipidacrine,(S)-tacrine(10)-hupyridone,(R)-tacrine(10)-hupyridone
Oxyphencyclimine,"2-{3-[(2S)-4,4-difluoro-2-(pyrrolidin-1-ylcarbonyl)pyrrolidin-1-yl]-3-oxopropyl}-isoindole-1,3(2H)-dione",Diphenadione,"5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione"
